2025-12-23 21:36:03,415 - =====================Start Training=====================
2025-12-23 21:36:03,415 - config: resshift_v1_10x_hyper3
2025-12-23 21:36:03,415 - description: t=15, k=1, p=0.3
2025-12-23 21:36:03,415 - Epoch, Loss_train, Loss_val (K)
2025-12-24 06:54:59,269 - 97, 0.00004404, 0.4102
2025-12-24 07:00:44,763 - 98, 0.00004394, 0.4089
2025-12-24 07:06:30,101 - 99, 0.00004383, 0.3990
2025-12-24 07:12:15,533 - 100, 0.00004383, 0.4024
2025-12-24 07:18:00,676 - 101, 0.00004375, 0.4026
2025-12-24 07:23:45,921 - 102, 0.00004360, 0.3951
2025-12-24 07:29:31,077 - 103, 0.00004335, 0.3950
2025-12-24 07:35:16,730 - 104, 0.00004325, 0.4278
2025-12-24 07:41:01,745 - 105, 0.00004330, 0.4037
2025-12-24 07:46:46,652 - 106, 0.00004337, 0.4065
2025-12-24 07:52:32,136 - 107, 0.00004309, 0.4050
2025-12-24 07:58:17,033 - 108, 0.00004304, 0.4014
2025-12-24 08:04:02,116 - 109, 0.00004302, 0.4009
2025-12-24 08:09:47,108 - 110, 0.00004295, 0.3968
2025-12-24 08:15:32,301 - 111, 0.00004262, 0.3949
2025-12-24 08:21:17,510 - 112, 0.00004244, 0.4040
2025-12-24 08:27:02,591 - 113, 0.00004266, 0.3907
2025-12-24 08:32:47,790 - 114, 0.00004252, 0.4027
2025-12-24 08:38:33,026 - 115, 0.00004260, 0.3953
2025-12-24 08:44:18,456 - 116, 0.00004243, 0.3977
2025-12-24 08:50:03,373 - 117, 0.00004235, 0.3949
2025-12-24 08:55:48,708 - 118, 0.00004232, 0.3989
2025-12-24 09:01:33,986 - 119, 0.00004223, 0.3899
2025-12-24 09:07:19,201 - 120, 0.00004206, 0.3847
2025-12-24 09:13:04,497 - 121, 0.00004215, 0.3859
2025-12-24 09:18:49,905 - 122, 0.00004205, 0.3890
2025-12-24 09:24:35,262 - 123, 0.00004194, 0.3936
2025-12-24 09:30:20,284 - 124, 0.00004199, 0.3909
2025-12-24 09:36:05,208 - 125, 0.00004176, 0.3888
2025-12-24 09:41:50,332 - 126, 0.00004151, 0.3903
2025-12-24 09:47:36,291 - 127, 0.00004169, 0.3926
2025-12-24 09:53:21,621 - 128, 0.00004151, 0.3922
2025-12-24 09:59:07,012 - 129, 0.00004139, 0.3921
2025-12-24 10:04:52,360 - 130, 0.00004132, 0.3929
2025-12-24 10:10:37,554 - 131, 0.00004119, 0.3914
2025-12-24 10:16:22,694 - 132, 0.00004131, 0.3890
2025-12-24 10:22:07,975 - 133, 0.00004115, 0.3847
2025-12-24 10:27:53,186 - 134, 0.00004112, 0.3855
2025-12-24 10:33:38,424 - 135, 0.00004106, 0.3910
2025-12-24 10:39:23,972 - 136, 0.00004113, 0.3964
2025-12-24 10:45:09,047 - 137, 0.00004079, 0.3856
2025-12-24 10:50:53,761 - 138, 0.00004102, 0.3975
2025-12-24 10:56:38,777 - 139, 0.00004109, 0.3846
2025-12-24 11:02:24,118 - 140, 0.00004085, 0.3850
2025-12-24 11:08:09,322 - 141, 0.00004082, 0.3823
2025-12-24 11:13:54,661 - 142, 0.00004061, 0.3810
2025-12-24 11:19:40,011 - 143, 0.00004042, 0.3795
2025-12-24 11:25:25,434 - 144, 0.00004063, 0.3848
2025-12-24 11:31:10,544 - 145, 0.00004056, 0.3934
2025-12-24 11:36:55,432 - 146, 0.00004060, 0.3832
2025-12-24 11:42:40,252 - 147, 0.00004039, 0.3903
2025-12-24 11:48:25,340 - 148, 0.00004021, 0.3835
2025-12-24 11:54:09,914 - 149, 0.00004036, 0.3871
2025-12-24 11:59:55,179 - 150, 0.00004023, 0.3749
2025-12-24 12:05:40,814 - 151, 0.00004027, 0.3803
2025-12-24 12:11:25,900 - 152, 0.00004001, 0.3851
2025-12-24 12:17:10,746 - 153, 0.00004011, 0.3792
2025-12-24 12:22:55,882 - 154, 0.00003981, 0.3768
2025-12-24 12:28:41,638 - 155, 0.00003996, 0.3911
2025-12-24 12:34:30,036 - 156, 0.00003982, 0.3812
2025-12-24 12:40:20,124 - 157, 0.00003991, 0.3766
2025-12-24 12:46:05,636 - 158, 0.00003986, 0.3907
2025-12-24 12:51:50,512 - 159, 0.00003978, 0.3795
2025-12-24 12:57:35,452 - 160, 0.00003963, 0.3717
2025-12-24 13:03:20,298 - 161, 0.00003964, 0.3852
2025-12-24 13:09:05,146 - 162, 0.00003969, 0.3788
2025-12-24 13:14:50,603 - 163, 0.00003955, 0.3812
2025-12-24 13:20:35,701 - 164, 0.00003941, 0.3905
2025-12-24 13:26:21,074 - 165, 0.00003943, 0.3781
2025-12-24 13:32:06,304 - 166, 0.00003942, 0.3754
2025-12-24 13:37:51,582 - 167, 0.00003946, 0.3763
2025-12-24 13:43:36,267 - 168, 0.00003944, 0.3827
2025-12-24 13:49:21,968 - 169, 0.00003929, 0.3745
2025-12-24 13:55:07,005 - 170, 0.00003917, 0.3813
2025-12-24 14:00:52,016 - 171, 0.00003932, 0.3797
2025-12-24 14:06:37,492 - 172, 0.00003926, 0.3820
2025-12-24 14:12:22,764 - 173, 0.00003903, 0.3775
2025-12-24 14:18:07,892 - 174, 0.00003912, 0.3792
2025-12-24 14:23:53,494 - 175, 0.00003888, 0.3773
2025-12-24 14:29:38,777 - 176, 0.00003910, 0.3830
2025-12-24 14:35:23,994 - 177, 0.00003897, 0.3824
2025-12-24 14:41:09,204 - 178, 0.00003886, 0.3728
2025-12-24 14:46:54,321 - 179, 0.00003874, 0.3773
2025-12-24 14:52:39,842 - 180, 0.00003872, 0.3760
2025-12-24 14:52:39,842 - Training finished with early stopping, best loss_val = 0.3717 K
