2025-09-16 11:49:05,301 - =====================Start Training=====================
2025-09-16 11:49:05,301 - config: resshift_v1_10x
2025-09-16 11:49:05,301 - description: consine | time_step = 3 | 10x | use_gate = False | num_affine = 3
2025-09-16 11:49:05,301 - Epoch, Loss_train, RMSE_eval (K)
2025-09-16 11:53:35,598 - 1, 0.00041987, 1.4324
2025-09-16 11:57:17,548 - 2, 0.00011471, 1.2886
2025-09-16 12:00:57,580 - 3, 0.00009241, 1.2519
2025-09-16 12:04:40,416 - 4, 0.00008360, 1.2370
2025-09-16 12:08:21,124 - 5, 0.00007695, 1.1617
2025-09-16 12:12:04,310 - 6, 0.00006956, 1.1225
2025-09-16 12:15:45,773 - 7, 0.00006798, 1.1029
2025-09-16 12:19:29,554 - 8, 0.00006338, 1.0718
2025-09-16 12:23:14,397 - 9, 0.00006027, 1.0625
2025-09-16 12:26:58,295 - 10, 0.00005810, 1.0435
2025-09-16 12:30:43,235 - 11, 0.00005686, 1.0808
2025-09-16 12:34:27,315 - 12, 0.00005181, 0.9882
2025-09-16 12:38:12,945 - 13, 0.00005102, 1.0309
2025-09-16 12:41:56,910 - 14, 0.00004988, 0.9638
2025-09-16 12:45:40,736 - 15, 0.00004608, 0.9938
2025-09-16 12:49:26,475 - 16, 0.00004767, 0.9742
2025-09-16 12:53:10,344 - 17, 0.00004488, 0.9217
2025-09-16 12:56:56,507 - 18, 0.00004480, 0.9015
2025-09-16 13:00:40,099 - 19, 0.00004276, 0.9393
2025-09-16 13:04:23,207 - 20, 0.00004241, 1.0184
2025-09-16 13:08:07,419 - 21, 0.00004201, 0.8698
2025-09-16 13:11:48,522 - 22, 0.00004069, 0.8794
2025-09-16 13:15:34,512 - 23, 0.00003920, 0.8638
2025-09-16 13:19:18,864 - 24, 0.00004036, 0.8609
2025-09-16 13:22:59,961 - 25, 0.00003865, 0.8561
2025-09-16 13:26:37,716 - 26, 0.00003868, 0.8295
2025-09-16 13:30:16,341 - 27, 0.00003760, 0.8404
2025-09-16 13:33:56,074 - 28, 0.00003660, 0.8455
2025-09-16 13:37:35,530 - 29, 0.00003648, 0.8428
2025-09-16 13:41:19,130 - 30, 0.00003679, 0.8273
