2025-12-24 14:54:10,494 - =====================Start Training=====================
2025-12-24 14:54:10,495 - config: resshift_v1_10x_hyper4
2025-12-24 14:54:10,495 - description: t=15, k=0.1, p=0.3
2025-12-24 14:54:10,495 - Epoch, Loss_train, Loss_val (K)
2025-12-25 00:07:15,239 - 96, 0.00003680, 0.5205
2025-12-25 00:13:00,231 - 97, 0.00003675, 0.5296
2025-12-25 00:18:45,560 - 98, 0.00003666, 0.5838
2025-12-25 00:24:30,729 - 99, 0.00003657, 0.5173
2025-12-25 00:30:15,553 - 100, 0.00003639, 0.4921
2025-12-25 00:36:00,945 - 101, 0.00003657, 0.4978
2025-12-25 00:41:46,296 - 102, 0.00003646, 0.5392
2025-12-25 00:47:31,463 - 103, 0.00003619, 0.4944
2025-12-25 00:53:16,625 - 104, 0.00003619, 0.4988
2025-12-25 00:59:02,013 - 105, 0.00003639, 0.6027
2025-12-25 01:04:47,365 - 106, 0.00003631, 0.5108
2025-12-25 01:10:32,620 - 107, 0.00003617, 0.4982
2025-12-25 01:16:17,796 - 108, 0.00003610, 0.4996
2025-12-25 01:22:02,907 - 109, 0.00003577, 0.4877
2025-12-25 01:27:48,094 - 110, 0.00003596, 0.5100
2025-12-25 01:33:33,550 - 111, 0.00003574, 0.4840
2025-12-25 01:39:18,699 - 112, 0.00003563, 0.4955
2025-12-25 01:45:04,228 - 113, 0.00003550, 0.5111
2025-12-25 01:50:49,097 - 114, 0.00003557, 0.5247
2025-12-25 01:56:34,014 - 115, 0.00003563, 0.5073
2025-12-25 02:02:19,274 - 116, 0.00003577, 0.5300
2025-12-25 02:08:04,555 - 117, 0.00003584, 0.4937
2025-12-25 02:13:50,190 - 118, 0.00003563, 0.5262
2025-12-25 02:19:35,274 - 119, 0.00003566, 0.4855
2025-12-25 02:25:20,710 - 120, 0.00003556, 0.4836
2025-12-25 02:31:06,379 - 121, 0.00003534, 0.4866
2025-12-25 02:36:51,512 - 122, 0.00003543, 0.4917
2025-12-25 02:42:36,481 - 123, 0.00003533, 0.4804
2025-12-25 02:48:21,534 - 124, 0.00003543, 0.4866
2025-12-25 02:54:07,027 - 125, 0.00003524, 0.4904
2025-12-25 02:59:52,330 - 126, 0.00003527, 0.5063
2025-12-25 03:05:37,269 - 127, 0.00003528, 0.4769
2025-12-25 03:11:22,799 - 128, 0.00003484, 0.5348
2025-12-25 03:17:07,736 - 129, 0.00003526, 0.5043
