2025-09-17 16:44:50,614 - =====================Start Training=====================
2025-09-17 16:44:50,614 - config: resshift_v1_20x
2025-09-17 16:44:50,614 - description: consine | time_step = 3 | 10x | use_gate = False | num_affine = 3
2025-09-17 16:44:50,614 - Epoch, Loss_train, RMSE_eval (K)
2025-09-17 22:44:38,648 - 96, 0.00003698, 0.8340
2025-09-17 22:48:22,530 - 97, 0.00003597, 0.8416
2025-09-17 22:52:08,757 - 98, 0.00003594, 0.8425
2025-09-17 22:55:52,660 - 99, 0.00003601, 0.8198
2025-09-17 22:59:37,386 - 100, 0.00003515, 0.8213
2025-09-17 23:03:21,621 - 101, 0.00003563, 0.8216
2025-09-17 23:07:05,501 - 102, 0.00003537, 0.8156
2025-09-17 23:10:50,998 - 103, 0.00003548, 0.8199
2025-09-17 23:14:34,841 - 104, 0.00003599, 0.8306
2025-09-17 23:18:20,235 - 105, 0.00003651, 0.8357
2025-09-17 23:22:03,751 - 106, 0.00003566, 0.8152
2025-09-17 23:25:48,346 - 107, 0.00003517, 0.8106
2025-09-17 23:29:33,558 - 108, 0.00003535, 0.8100
2025-09-17 23:33:16,852 - 109, 0.00003546, 0.8167
2025-09-17 23:37:02,339 - 110, 0.00003486, 0.8196
2025-09-17 23:40:45,500 - 111, 0.00003520, 0.8073
2025-09-17 23:44:30,729 - 112, 0.00003501, 0.8310
2025-09-17 23:48:14,454 - 113, 0.00003429, 0.8170
2025-09-17 23:51:58,300 - 114, 0.00003485, 0.8044
2025-09-17 23:55:43,915 - 115, 0.00003485, 0.8052
2025-09-17 23:59:27,766 - 116, 0.00003381, 0.8283
2025-09-18 00:03:13,444 - 117, 0.00003458, 0.8144
2025-09-18 00:06:57,758 - 118, 0.00003455, 0.8150
2025-09-18 00:10:41,952 - 119, 0.00003408, 0.8126
2025-09-18 00:14:26,612 - 120, 0.00003434, 0.8103
2025-09-18 00:18:10,677 - 121, 0.00003454, 0.8025
2025-09-18 00:21:56,467 - 122, 0.00003461, 0.8056
2025-09-18 00:25:40,141 - 123, 0.00003433, 0.7989
2025-09-18 00:29:24,452 - 124, 0.00003396, 0.7993
2025-09-18 00:33:08,628 - 125, 0.00003388, 0.7989
2025-09-18 00:36:52,252 - 126, 0.00003417, 0.7980
2025-09-18 00:40:37,918 - 127, 0.00003412, 0.8064
2025-09-18 00:44:21,315 - 128, 0.00003414, 0.7959
2025-09-18 00:48:06,966 - 129, 0.00003369, 0.8090
2025-09-18 00:51:50,481 - 130, 0.00003311, 0.8167
2025-09-18 00:55:34,277 - 131, 0.00003321, 0.8022
2025-09-18 00:59:19,072 - 132, 0.00003376, 0.8013
2025-09-18 01:03:02,743 - 133, 0.00003307, 0.7971
2025-09-18 01:06:48,580 - 134, 0.00003344, 0.8048
2025-09-18 01:10:32,001 - 135, 0.00003336, 0.7872
2025-09-18 01:14:15,898 - 136, 0.00003331, 0.7928
2025-09-18 01:17:59,718 - 137, 0.00003327, 0.7889
2025-09-18 01:21:43,511 - 138, 0.00003372, 0.8045
2025-09-18 01:25:29,038 - 139, 0.00003353, 0.7917
2025-09-18 01:29:12,745 - 140, 0.00003288, 0.7889
2025-09-18 01:32:57,650 - 141, 0.00003309, 0.8185
2025-09-18 01:36:41,205 - 142, 0.00003365, 0.7978
2025-09-18 01:40:25,404 - 143, 0.00003308, 0.7903
2025-09-18 01:44:10,382 - 144, 0.00003305, 0.7837
2025-09-18 01:47:54,510 - 145, 0.00003240, 0.8040
2025-09-18 01:51:40,188 - 146, 0.00003285, 0.7914
2025-09-18 01:55:23,935 - 147, 0.00003278, 0.7948
2025-09-18 01:59:07,774 - 148, 0.00003259, 0.7860
2025-09-18 02:02:51,198 - 149, 0.00003202, 0.7859
2025-09-18 02:06:34,659 - 150, 0.00003275, 0.7853
2025-09-18 02:10:20,234 - 151, 0.00003233, 0.7932
2025-09-18 02:14:04,096 - 152, 0.00003294, 0.7887
2025-09-18 02:17:49,147 - 153, 0.00003238, 0.7859
2025-09-18 02:21:32,881 - 154, 0.00003287, 0.7852
2025-09-18 02:25:16,728 - 155, 0.00003270, 0.7857
2025-09-18 02:29:01,572 - 156, 0.00003264, 0.7851
2025-09-18 02:32:45,224 - 157, 0.00003236, 0.7807
2025-09-18 02:36:30,977 - 158, 0.00003240, 0.7802
2025-09-18 02:40:15,255 - 159, 0.00003248, 0.7780
2025-09-18 02:43:59,231 - 160, 0.00003198, 0.7849
2025-09-18 02:47:43,072 - 161, 0.00003256, 0.7811
2025-09-18 02:51:26,774 - 162, 0.00003250, 0.7771
2025-09-18 02:55:13,013 - 163, 0.00003250, 0.7804
2025-09-18 02:58:56,719 - 164, 0.00003227, 0.7788
2025-09-18 03:02:41,565 - 165, 0.00003232, 0.7782
2025-09-18 03:06:25,122 - 166, 0.00003173, 0.7782
2025-09-18 03:10:08,467 - 167, 0.00003167, 0.7748
2025-09-18 03:13:52,849 - 168, 0.00003217, 0.7751
2025-09-18 03:17:36,054 - 169, 0.00003204, 0.7768
2025-09-18 03:21:22,131 - 170, 0.00003201, 0.7755
2025-09-18 03:25:06,229 - 171, 0.00003201, 0.7779
2025-09-18 03:28:51,055 - 172, 0.00003199, 0.7776
2025-09-18 03:32:35,145 - 173, 0.00003148, 0.7725
2025-09-18 03:36:19,218 - 174, 0.00003144, 0.7827
2025-09-18 03:40:04,459 - 175, 0.00003208, 0.7736
2025-09-18 03:43:48,310 - 176, 0.00003169, 0.7728
2025-09-18 03:47:33,699 - 177, 0.00003171, 0.7772
2025-09-18 03:51:17,207 - 178, 0.00003121, 0.7778
2025-09-18 03:55:01,355 - 179, 0.00003162, 0.7734
2025-09-18 03:58:46,982 - 180, 0.00003062, 0.7690
2025-09-18 04:02:31,160 - 181, 0.00003125, 0.7774
2025-09-18 04:06:16,599 - 182, 0.00003118, 0.7733
2025-09-18 04:10:00,593 - 183, 0.00003147, 0.7737
2025-09-18 04:13:44,723 - 184, 0.00003136, 0.7679
2025-09-18 04:17:28,866 - 185, 0.00003176, 0.7716
2025-09-18 04:21:11,975 - 186, 0.00003144, 0.7696
2025-09-18 04:24:57,854 - 187, 0.00003167, 0.7680
2025-09-18 04:28:41,870 - 188, 0.00003089, 0.7686
2025-09-18 04:32:26,967 - 189, 0.00003104, 0.7709
2025-09-18 04:36:10,810 - 190, 0.00003113, 0.7674
2025-09-18 04:39:55,149 - 191, 0.00003121, 0.7694
2025-09-18 04:43:40,598 - 192, 0.00003114, 0.7676
2025-09-18 04:47:24,205 - 193, 0.00003099, 0.7688
2025-09-18 04:51:09,452 - 194, 0.00003062, 0.7654
2025-09-18 04:54:53,560 - 195, 0.00003014, 0.7649
2025-09-18 04:58:37,269 - 196, 0.00003079, 0.7666
2025-09-18 05:02:21,284 - 197, 0.00003081, 0.7685
2025-09-18 05:06:05,248 - 198, 0.00003068, 0.7645
2025-09-18 05:09:50,873 - 199, 0.00003081, 0.7638
2025-09-18 05:13:34,844 - 200, 0.00003031, 0.7625
2025-09-18 05:17:19,952 - 201, 0.00003123, 0.7626
2025-09-18 05:21:03,941 - 202, 0.00003093, 0.7662
2025-09-18 05:24:47,303 - 203, 0.00003090, 0.7680
2025-09-18 05:28:32,157 - 204, 0.00003073, 0.7652
2025-09-18 05:32:15,629 - 205, 0.00003100, 0.7642
2025-09-18 05:36:01,221 - 206, 0.00003069, 0.7614
2025-09-18 05:39:45,012 - 207, 0.00003049, 0.7638
2025-09-18 05:43:28,450 - 208, 0.00003054, 0.7634
2025-09-18 05:47:12,722 - 209, 0.00003050, 0.7684
2025-09-18 05:50:56,613 - 210, 0.00003025, 0.7638
2025-09-18 05:54:41,990 - 211, 0.00003039, 0.7627
2025-09-18 05:58:25,663 - 212, 0.00003025, 0.7614
2025-09-18 06:02:10,501 - 213, 0.00003029, 0.7600
2025-09-18 06:05:55,069 - 214, 0.00003067, 0.7623
2025-09-18 06:09:38,882 - 215, 0.00003072, 0.7618
2025-09-18 06:13:24,028 - 216, 0.00003071, 0.7638
2025-09-18 06:17:07,573 - 217, 0.00003000, 0.7610
2025-09-18 06:20:52,947 - 218, 0.00003027, 0.7578
2025-09-18 06:24:36,577 - 219, 0.00003067, 0.7585
2025-09-18 06:28:20,016 - 220, 0.00003029, 0.7599
2025-09-18 06:32:05,465 - 221, 0.00003026, 0.7596
2025-09-18 06:35:48,836 - 222, 0.00003077, 0.7604
2025-09-18 06:39:34,650 - 223, 0.00003041, 0.7576
2025-09-18 06:43:18,292 - 224, 0.00002973, 0.7600
2025-09-18 06:47:02,402 - 225, 0.00003054, 0.7600
2025-09-18 06:50:46,311 - 226, 0.00003054, 0.7579
2025-09-18 06:54:30,273 - 227, 0.00003044, 0.7584
2025-09-18 06:58:15,823 - 228, 0.00002987, 0.7587
2025-09-18 07:01:59,290 - 229, 0.00003034, 0.7597
2025-09-18 07:05:44,626 - 230, 0.00003037, 0.7580
2025-09-18 07:09:28,856 - 231, 0.00003016, 0.7570
2025-09-18 07:13:13,149 - 232, 0.00003001, 0.7574
2025-09-18 07:16:57,835 - 233, 0.00002960, 0.7618
2025-09-18 07:20:41,780 - 234, 0.00003075, 0.7618
2025-09-18 07:24:27,064 - 235, 0.00003024, 0.7593
2025-09-18 07:28:10,712 - 236, 0.00002972, 0.7587
2025-09-18 07:31:54,533 - 237, 0.00003038, 0.7564
2025-09-18 07:35:38,828 - 238, 0.00003029, 0.7566
2025-09-18 07:39:22,672 - 239, 0.00002972, 0.7572
2025-09-18 07:43:07,805 - 240, 0.00002967, 0.7577
2025-09-18 07:46:51,471 - 241, 0.00003045, 0.7565
2025-09-18 07:50:36,547 - 242, 0.00002981, 0.7574
2025-09-18 07:54:19,883 - 243, 0.00002989, 0.7567
2025-09-18 07:58:03,189 - 244, 0.00002966, 0.7565
2025-09-18 08:01:47,885 - 245, 0.00002990, 0.7570
