2025-10-13 14:47:12,441 - =====================Start Training=====================
2025-10-13 14:47:12,441 - config: resshift_10x_ch64
2025-10-13 14:47:12,451 - description: ch_base = 64
2025-10-13 14:47:12,451 - Epoch, Loss_train, Loss_val (K)
2025-10-13 14:55:21,195 - 1, 0.00030559, 1.7311
2025-10-13 15:02:54,320 - 2, 0.00008915, 1.4022
2025-10-13 15:10:28,180 - 3, 0.00007912, 1.3580
2025-10-13 15:18:04,923 - 4, 0.00006671, 1.1182
2025-10-13 15:25:32,918 - 5, 0.00006239, 1.1073
2025-10-13 15:33:01,452 - 6, 0.00005714, 1.0056
2025-10-13 15:40:38,556 - 7, 0.00005365, 1.0446
2025-10-13 15:48:11,412 - 8, 0.00004995, 0.9470
2025-10-13 15:55:43,777 - 9, 0.00004822, 0.8761
2025-10-13 16:03:13,202 - 10, 0.00004493, 0.8605
2025-10-13 16:10:41,291 - 11, 0.00004380, 0.8353
2025-10-13 16:18:09,225 - 12, 0.00004251, 0.8232
2025-10-13 16:25:37,792 - 13, 0.00004052, 0.7578
2025-10-13 16:33:05,845 - 14, 0.00003978, 0.7327
2025-10-13 16:40:35,797 - 15, 0.00003841, 0.7572
2025-10-13 16:48:04,540 - 16, 0.00003722, 0.6522
2025-10-13 16:55:33,179 - 17, 0.00003690, 0.6950
2025-10-13 17:03:00,960 - 18, 0.00003639, 0.6491
2025-10-13 17:10:29,557 - 19, 0.00003532, 0.6579
2025-10-13 17:17:57,136 - 20, 0.00003470, 0.6153
2025-10-13 17:25:24,134 - 21, 0.00003398, 0.6457
2025-10-13 17:32:51,363 - 22, 0.00003394, 0.6283
2025-10-13 17:40:19,251 - 23, 0.00003262, 0.6154
2025-10-13 17:47:47,625 - 24, 0.00003277, 0.6278
2025-10-13 17:55:16,584 - 25, 0.00003153, 0.5983
2025-10-13 18:02:47,132 - 26, 0.00003182, 0.6302
2025-10-13 18:10:17,503 - 27, 0.00003146, 0.5722
2025-10-13 18:17:49,101 - 28, 0.00003086, 0.5578
2025-10-13 18:25:18,966 - 29, 0.00003000, 0.6115
2025-10-13 18:32:48,286 - 30, 0.00003025, 0.5465
2025-10-13 18:40:19,298 - 31, 0.00003040, 0.5599
2025-10-13 18:47:49,141 - 32, 0.00003015, 0.5657
2025-10-13 18:55:18,577 - 33, 0.00002921, 0.5587
2025-10-13 19:02:46,364 - 34, 0.00002919, 0.5480
2025-10-13 19:10:15,245 - 35, 0.00002883, 0.5162
2025-10-13 19:17:44,815 - 36, 0.00002855, 0.5001
2025-10-13 19:25:13,676 - 37, 0.00002768, 0.5341
2025-10-13 19:32:41,431 - 38, 0.00002795, 0.5134
2025-10-13 19:40:09,104 - 39, 0.00002756, 0.4859
2025-10-13 19:47:37,951 - 40, 0.00002713, 0.4821
2025-10-13 19:55:06,361 - 41, 0.00002734, 0.4893
2025-10-13 20:02:34,218 - 42, 0.00002651, 0.4677
2025-10-13 20:10:03,479 - 43, 0.00002626, 0.4630
2025-10-13 20:17:34,290 - 44, 0.00002638, 0.4775
2025-10-13 20:25:04,478 - 45, 0.00002586, 0.5187
2025-10-13 20:32:34,901 - 46, 0.00002613, 0.4477
2025-10-13 20:40:04,321 - 47, 0.00002533, 0.4668
2025-10-13 20:47:34,484 - 48, 0.00002552, 0.4361
2025-10-13 20:55:05,719 - 49, 0.00002549, 0.4557
2025-10-13 21:02:36,138 - 50, 0.00002537, 0.4589
2025-10-13 21:10:04,598 - 51, 0.00002493, 0.4255
2025-10-13 21:17:34,497 - 52, 0.00002517, 0.4336
2025-10-13 21:25:03,751 - 53, 0.00002470, 0.4279
2025-10-13 21:32:32,809 - 54, 0.00002442, 0.4295
2025-10-13 21:40:00,770 - 55, 0.00002448, 0.4357
2025-10-13 21:47:26,292 - 56, 0.00002452, 0.4111
2025-10-13 21:54:54,004 - 57, 0.00002446, 0.4260
2025-10-13 22:02:21,330 - 58, 0.00002429, 0.4141
2025-10-13 22:09:49,621 - 59, 0.00002433, 0.4239
2025-10-13 22:17:16,570 - 60, 0.00002394, 0.4042
2025-10-13 22:24:46,187 - 61, 0.00002388, 0.4189
2025-10-13 22:32:15,327 - 62, 0.00002378, 0.4316
2025-10-13 22:39:45,737 - 63, 0.00002411, 0.4043
2025-10-13 22:47:15,134 - 64, 0.00002390, 0.4104
2025-10-13 22:54:45,375 - 65, 0.00002364, 0.4252
2025-10-13 23:02:16,183 - 66, 0.00002340, 0.4066
2025-10-13 23:09:46,343 - 67, 0.00002371, 0.4016
2025-10-13 23:17:15,607 - 68, 0.00002330, 0.3991
2025-10-13 23:24:45,190 - 69, 0.00002313, 0.4009
2025-10-13 23:32:14,612 - 70, 0.00002343, 0.4093
2025-10-13 23:39:44,032 - 71, 0.00002329, 0.3936
2025-10-13 23:47:14,324 - 72, 0.00002283, 0.4561
2025-10-13 23:54:42,667 - 73, 0.00002333, 0.4024
2025-10-14 00:02:11,127 - 74, 0.00002279, 0.4051
2025-10-14 00:09:40,210 - 75, 0.00002316, 0.4029
2025-10-14 00:17:08,485 - 76, 0.00002284, 0.4119
2025-10-14 00:24:36,063 - 77, 0.00002301, 0.3893
2025-10-14 00:32:02,860 - 78, 0.00002282, 0.3932
2025-10-14 00:39:29,821 - 79, 0.00002264, 0.4043
2025-10-14 00:46:58,297 - 80, 0.00002199, 0.3890
2025-10-14 00:54:28,277 - 81, 0.00002270, 0.3981
2025-10-14 01:01:57,656 - 82, 0.00002259, 0.4126
2025-10-14 01:09:27,656 - 83, 0.00002248, 0.3836
2025-10-14 01:16:58,430 - 84, 0.00002249, 0.3814
2025-10-14 01:24:29,333 - 85, 0.00002194, 0.3834
2025-10-14 01:31:58,461 - 86, 0.00002267, 0.3885
2025-10-14 01:39:28,087 - 87, 0.00002242, 0.3934
2025-10-14 01:46:58,030 - 88, 0.00002170, 0.3866
2025-10-14 01:54:28,232 - 89, 0.00002203, 0.3850
2025-10-14 02:01:55,180 - 90, 0.00002198, 0.3875
2025-10-14 02:09:23,028 - 91, 0.00002223, 0.3733
2025-10-14 02:16:52,232 - 92, 0.00002173, 0.4030
2025-10-14 02:24:20,482 - 93, 0.00002208, 0.3805
2025-10-14 02:31:47,876 - 94, 0.00002167, 0.3731
2025-10-14 02:39:15,491 - 95, 0.00002223, 0.3750
2025-10-14 02:46:43,011 - 96, 0.00002173, 0.3787
2025-10-14 02:54:11,241 - 97, 0.00002177, 0.3808
2025-10-14 03:01:39,000 - 98, 0.00002222, 0.3843
2025-10-14 03:09:06,727 - 99, 0.00002169, 0.3799
2025-10-14 03:16:35,936 - 100, 0.00002146, 0.3770
2025-10-14 03:24:05,910 - 101, 0.00002180, 0.3808
2025-10-14 03:31:35,598 - 102, 0.00002124, 0.3870
2025-10-14 03:39:05,886 - 103, 0.00002139, 0.3730
2025-10-14 03:46:35,804 - 104, 0.00002129, 0.3720
2025-10-14 03:54:06,538 - 105, 0.00002148, 0.3803
2025-10-14 04:01:36,662 - 106, 0.00002132, 0.3898
2025-10-14 04:09:06,849 - 107, 0.00002126, 0.3682
2025-10-14 04:16:36,638 - 108, 0.00002145, 0.3712
2025-10-14 04:24:06,268 - 109, 0.00002099, 0.3673
2025-10-14 04:31:35,910 - 110, 0.00002152, 0.3646
2025-10-14 04:39:05,546 - 111, 0.00002107, 0.3699
2025-10-14 04:46:33,241 - 112, 0.00002120, 0.3718
2025-10-14 04:53:59,373 - 113, 0.00002158, 0.3665
2025-10-14 05:01:26,808 - 114, 0.00002136, 0.3755
2025-10-14 05:08:54,379 - 115, 0.00002123, 0.3778
2025-10-14 05:16:22,068 - 116, 0.00002119, 0.3618
2025-10-14 05:23:49,998 - 117, 0.00002116, 0.3677
2025-10-14 05:31:17,680 - 118, 0.00002131, 0.3578
2025-10-14 05:38:46,586 - 119, 0.00002104, 0.3669
2025-10-14 05:46:14,803 - 120, 0.00002117, 0.3597
2025-10-14 05:53:44,269 - 121, 0.00002108, 0.3711
2025-10-14 06:01:13,781 - 122, 0.00002078, 0.3613
2025-10-14 06:08:44,122 - 123, 0.00002055, 0.3624
2025-10-14 06:16:14,617 - 124, 0.00002082, 0.3665
2025-10-14 06:23:44,407 - 125, 0.00002080, 0.3641
2025-10-14 06:31:13,829 - 126, 0.00002095, 0.3607
2025-10-14 06:38:44,150 - 127, 0.00002096, 0.3572
2025-10-14 06:46:14,738 - 128, 0.00002093, 0.3665
2025-10-14 06:53:43,682 - 129, 0.00002060, 0.3652
2025-10-14 07:01:12,816 - 130, 0.00002073, 0.3574
2025-10-14 07:08:42,197 - 131, 0.00002045, 0.3679
2025-10-14 07:16:11,321 - 132, 0.00002055, 0.3564
2025-10-14 07:23:40,127 - 133, 0.00002049, 0.3586
2025-10-14 07:31:06,674 - 134, 0.00002066, 0.3572
2025-10-14 07:38:33,373 - 135, 0.00002076, 0.3579
2025-10-14 07:45:59,833 - 136, 0.00002028, 0.3571
2025-10-14 07:53:27,393 - 137, 0.00002038, 0.3590
2025-10-14 08:00:54,781 - 138, 0.00002065, 0.3535
2025-10-14 08:08:22,904 - 139, 0.00002030, 0.3528
2025-10-14 08:15:52,365 - 140, 0.00002041, 0.3567
2025-10-14 08:23:22,577 - 141, 0.00002016, 0.3547
2025-10-14 08:30:52,300 - 142, 0.00002042, 0.3597
2025-10-14 08:38:21,514 - 143, 0.00002009, 0.3537
2025-10-14 08:45:51,523 - 144, 0.00002043, 0.3627
2025-10-14 08:53:22,217 - 145, 0.00002043, 0.3587
