2025-12-22 10:40:15,046 - =====================Start Training=====================
2025-12-22 10:40:15,046 - config: resshift_v1_10x_hyper1
2025-12-22 10:40:15,047 - description: t=3, sqrt_etas=[0.05, 0.6, 0.99], kappa=0.05
2025-12-22 10:40:15,047 - Epoch, Loss_train, Loss_val (K)
2025-12-22 16:37:53,071 - 96, 0.00003005, 0.4328
2025-12-22 16:41:36,370 - 97, 0.00002943, 0.4277
2025-12-22 16:45:19,235 - 98, 0.00002925, 0.4554
2025-12-22 16:49:02,941 - 99, 0.00002935, 0.4296
2025-12-22 16:52:46,182 - 100, 0.00002901, 0.4350
2025-12-22 16:56:31,255 - 101, 0.00002915, 0.4351
2025-12-22 17:00:14,445 - 102, 0.00002895, 0.4336
2025-12-22 17:03:59,707 - 103, 0.00002905, 0.4429
2025-12-22 17:07:43,147 - 104, 0.00002909, 0.4194
2025-12-22 17:11:26,460 - 105, 0.00002941, 0.4292
2025-12-22 17:15:11,529 - 106, 0.00002916, 0.4287
2025-12-22 17:18:55,021 - 107, 0.00002880, 0.4381
2025-12-22 17:22:40,040 - 108, 0.00002901, 0.4125
2025-12-22 17:26:23,342 - 109, 0.00002893, 0.4220
2025-12-22 17:30:07,365 - 110, 0.00002864, 0.4269
2025-12-22 17:33:50,943 - 111, 0.00002877, 0.4239
2025-12-22 17:37:33,989 - 112, 0.00002862, 0.4071
2025-12-22 17:41:19,335 - 113, 0.00002835, 0.4156
2025-12-22 17:45:01,920 - 114, 0.00002882, 0.4155
2025-12-22 17:48:47,156 - 115, 0.00002877, 0.4226
2025-12-22 17:52:30,119 - 116, 0.00002826, 0.4058
2025-12-22 17:56:13,414 - 117, 0.00002858, 0.4112
2025-12-22 17:59:57,408 - 118, 0.00002839, 0.4105
2025-12-22 18:03:40,138 - 119, 0.00002830, 0.4154
2025-12-22 18:07:25,389 - 120, 0.00002831, 0.4197
2025-12-22 18:11:08,706 - 121, 0.00002835, 0.4163
2025-12-22 18:14:54,204 - 122, 0.00002834, 0.4164
2025-12-22 18:18:38,209 - 123, 0.00002854, 0.4078
2025-12-22 18:22:21,672 - 124, 0.00002806, 0.4126
2025-12-22 18:26:06,615 - 125, 0.00002805, 0.4048
2025-12-22 18:29:50,236 - 126, 0.00002807, 0.4076
2025-12-22 18:33:35,375 - 127, 0.00002811, 0.4074
2025-12-22 18:37:18,793 - 128, 0.00002821, 0.4045
2025-12-22 18:41:02,630 - 129, 0.00002800, 0.4050
2025-12-22 18:44:46,037 - 130, 0.00002753, 0.4112
2025-12-22 18:48:29,066 - 131, 0.00002779, 0.4046
2025-12-22 18:52:15,383 - 132, 0.00002788, 0.4028
2025-12-22 18:55:58,094 - 133, 0.00002760, 0.4011
2025-12-22 18:59:42,697 - 134, 0.00002775, 0.4042
2025-12-22 19:03:26,094 - 135, 0.00002782, 0.4067
2025-12-22 19:07:09,376 - 136, 0.00002762, 0.4010
2025-12-22 19:10:54,530 - 137, 0.00002770, 0.4052
2025-12-22 19:14:37,920 - 138, 0.00002778, 0.4023
2025-12-22 19:18:23,574 - 139, 0.00002778, 0.4073
2025-12-22 19:22:08,036 - 140, 0.00002739, 0.4037
2025-12-22 19:25:50,984 - 141, 0.00002746, 0.3961
2025-12-22 19:29:34,388 - 142, 0.00002785, 0.4008
2025-12-22 19:33:17,649 - 143, 0.00002751, 0.4002
2025-12-22 19:37:03,213 - 144, 0.00002754, 0.3958
2025-12-22 19:40:46,899 - 145, 0.00002703, 0.4026
2025-12-22 19:44:31,872 - 146, 0.00002742, 0.4036
2025-12-22 19:48:15,023 - 147, 0.00002739, 0.3928
2025-12-22 19:51:58,512 - 148, 0.00002722, 0.4054
2025-12-22 19:55:43,043 - 149, 0.00002689, 0.3948
2025-12-22 19:59:25,969 - 150, 0.00002749, 0.4006
2025-12-22 20:03:11,380 - 151, 0.00002719, 0.3921
2025-12-22 20:06:54,539 - 152, 0.00002748, 0.3915
2025-12-22 20:10:39,673 - 153, 0.00002704, 0.3921
2025-12-22 20:14:22,876 - 154, 0.00002731, 0.3974
2025-12-22 20:18:05,972 - 155, 0.00002723, 0.3958
2025-12-22 20:21:51,181 - 156, 0.00002714, 0.3899
2025-12-22 20:25:34,609 - 157, 0.00002705, 0.3914
2025-12-22 20:29:19,796 - 158, 0.00002710, 0.3889
2025-12-22 20:33:03,719 - 159, 0.00002708, 0.3946
2025-12-22 20:36:47,191 - 160, 0.00002681, 0.4000
