2025-09-13 11:41:47,552 - =====================Start Training=====================
2025-09-13 11:41:47,552 - config: mocolsk_v1_20x
2025-09-13 11:41:47,552 - description: mocolsk | 20x | ch=32
2025-09-13 11:47:47,282 - Epoch 1: train_loss = 0.00028342, rmse_val = 1.3492 K
2025-09-13 11:53:03,940 - Epoch 2: train_loss = 0.00019046, rmse_val = 1.1955 K
2025-09-13 11:58:19,928 - Epoch 3: train_loss = 0.00016942, rmse_val = 1.1651 K
2025-09-13 12:03:35,641 - Epoch 4: train_loss = 0.00015979, rmse_val = 1.1361 K
2025-09-13 12:08:52,775 - Epoch 5: train_loss = 0.00015478, rmse_val = 1.1232 K
2025-09-13 12:14:07,696 - Epoch 6: train_loss = 0.00014920, rmse_val = 1.1083 K
2025-09-13 12:19:22,736 - Epoch 7: train_loss = 0.00014411, rmse_val = 1.0705 K
2025-09-13 12:24:38,804 - Epoch 8: train_loss = 0.00013867, rmse_val = 1.0593 K
2025-09-13 12:29:54,231 - Epoch 9: train_loss = 0.00013444, rmse_val = 1.0411 K
2025-09-13 12:35:09,603 - Epoch 10: train_loss = 0.00013164, rmse_val = 1.0332 K
2025-09-13 12:40:25,580 - Epoch 11: train_loss = 0.00012965, rmse_val = 1.0337 K
2025-09-13 12:45:40,545 - Epoch 12: train_loss = 0.00012848, rmse_val = 1.0197 K
2025-09-13 12:50:56,345 - Epoch 13: train_loss = 0.00012645, rmse_val = 1.0177 K
2025-09-13 12:56:11,945 - Epoch 14: train_loss = 0.00012499, rmse_val = 1.0289 K
2025-09-13 13:01:21,955 - Epoch 15: train_loss = 0.00012421, rmse_val = 1.0131 K
2025-09-13 13:06:37,657 - Epoch 16: train_loss = 0.00012324, rmse_val = 1.0156 K
2025-09-13 13:11:52,560 - Epoch 17: train_loss = 0.00012224, rmse_val = 0.9979 K
2025-09-13 13:17:03,223 - Epoch 18: train_loss = 0.00012117, rmse_val = 0.9948 K
2025-09-13 13:22:18,769 - Epoch 19: train_loss = 0.00012032, rmse_val = 0.9907 K
2025-09-13 13:27:34,580 - Epoch 20: train_loss = 0.00011936, rmse_val = 0.9886 K
2025-09-13 13:32:45,304 - Epoch 21: train_loss = 0.00011852, rmse_val = 0.9858 K
2025-09-13 13:38:00,964 - Epoch 22: train_loss = 0.00011751, rmse_val = 0.9828 K
2025-09-13 13:43:17,370 - Epoch 23: train_loss = 0.00011721, rmse_val = 0.9819 K
2025-09-13 13:48:33,453 - Epoch 24: train_loss = 0.00011636, rmse_val = 0.9843 K
2025-09-13 13:53:48,525 - Epoch 25: train_loss = 0.00011543, rmse_val = 0.9910 K
2025-09-13 13:59:03,822 - Epoch 26: train_loss = 0.00011509, rmse_val = 0.9849 K
2025-09-13 14:04:19,025 - Epoch 27: train_loss = 0.00011408, rmse_val = 0.9713 K
2025-09-13 14:09:34,395 - Epoch 28: train_loss = 0.00011364, rmse_val = 0.9809 K
2025-09-13 14:14:49,647 - Epoch 29: train_loss = 0.00011295, rmse_val = 0.9692 K
2025-09-13 14:20:05,148 - Epoch 30: train_loss = 0.00011213, rmse_val = 0.9712 K
2025-09-13 14:25:20,264 - Epoch 31: train_loss = 0.00011149, rmse_val = 0.9747 K
2025-09-13 14:30:35,283 - Epoch 32: train_loss = 0.00011092, rmse_val = 0.9677 K
2025-09-13 14:35:51,128 - Epoch 33: train_loss = 0.00011014, rmse_val = 0.9664 K
2025-09-13 14:41:06,766 - Epoch 34: train_loss = 0.00010944, rmse_val = 0.9579 K
2025-09-13 14:46:22,633 - Epoch 35: train_loss = 0.00010871, rmse_val = 0.9711 K
2025-09-13 14:51:37,646 - Epoch 36: train_loss = 0.00010772, rmse_val = 0.9590 K
2025-09-13 14:56:52,931 - Epoch 37: train_loss = 0.00010734, rmse_val = 0.9530 K
2025-09-13 15:02:08,532 - Epoch 38: train_loss = 0.00010661, rmse_val = 0.9585 K
2025-09-13 15:07:23,754 - Epoch 39: train_loss = 0.00010581, rmse_val = 0.9542 K
2025-09-13 15:12:38,725 - Epoch 40: train_loss = 0.00010521, rmse_val = 0.9520 K
2025-09-13 15:17:54,266 - Epoch 41: train_loss = 0.00010413, rmse_val = 0.9522 K
2025-09-13 15:23:09,374 - Epoch 42: train_loss = 0.00010376, rmse_val = 0.9478 K
2025-09-13 15:28:25,260 - Epoch 43: train_loss = 0.00010326, rmse_val = 0.9450 K
2025-09-13 15:33:41,127 - Epoch 44: train_loss = 0.00010254, rmse_val = 0.9459 K
2025-09-13 15:38:56,538 - Epoch 45: train_loss = 0.00010200, rmse_val = 0.9447 K
2025-09-13 15:44:11,888 - Epoch 46: train_loss = 0.00010139, rmse_val = 0.9508 K
2025-09-13 15:49:27,036 - Epoch 47: train_loss = 0.00010060, rmse_val = 0.9509 K
2025-09-13 15:54:42,411 - Epoch 48: train_loss = 0.00009998, rmse_val = 0.9447 K
2025-09-13 15:59:57,986 - Epoch 49: train_loss = 0.00009963, rmse_val = 0.9425 K
2025-09-13 16:05:13,355 - Epoch 50: train_loss = 0.00009887, rmse_val = 0.9460 K
2025-09-13 16:10:29,765 - Epoch 51: train_loss = 0.00009825, rmse_val = 0.9424 K
2025-09-13 16:15:45,262 - Epoch 52: train_loss = 0.00009799, rmse_val = 0.9433 K
