2025-12-23 05:02:05,394 - =====================Start Training=====================
2025-12-23 05:02:05,394 - config: resshift_v1_10x_hyper2
2025-12-23 05:02:05,394 - description: t=3, sqrt_etas=[0.05, 0.3, 0.99], kappa=0.02
2025-12-23 05:02:05,394 - Epoch, Loss_train, Loss_val (K)
2025-12-23 05:06:23,808 - 1, 0.00040944, 2.0448
2025-12-23 05:10:08,765 - 2, 0.00010311, 1.6448
2025-12-23 05:13:52,223 - 3, 0.00008007, 1.5221
2025-12-23 05:17:36,009 - 4, 0.00007230, 1.5089
2025-12-23 05:21:21,258 - 5, 0.00006564, 1.3731
2025-12-23 05:25:04,936 - 6, 0.00006109, 1.2218
2025-12-23 05:28:50,357 - 7, 0.00005853, 1.1958
2025-12-23 05:32:33,966 - 8, 0.00005430, 1.1257
2025-12-23 05:36:17,864 - 9, 0.00005236, 1.1995
2025-12-23 05:40:01,377 - 10, 0.00005079, 1.0855
2025-12-23 05:43:44,988 - 11, 0.00004975, 1.0627
2025-12-23 05:47:30,581 - 12, 0.00004516, 0.9886
2025-12-23 05:51:14,079 - 13, 0.00004493, 0.9993
2025-12-23 05:54:59,356 - 14, 0.00004388, 0.8993
2025-12-23 05:58:42,179 - 15, 0.00004049, 0.9547
2025-12-23 06:02:25,224 - 16, 0.00004123, 0.9093
2025-12-23 06:06:09,475 - 17, 0.00003922, 0.8847
2025-12-23 06:09:53,125 - 18, 0.00003894, 0.8241
2025-12-23 06:13:38,071 - 19, 0.00003775, 0.8523
2025-12-23 06:17:21,310 - 20, 0.00003692, 0.8845
2025-12-23 06:21:05,256 - 21, 0.00003667, 0.7810
2025-12-23 06:24:49,215 - 22, 0.00003563, 0.7762
2025-12-23 06:28:32,473 - 23, 0.00003382, 0.7541
2025-12-23 06:32:17,575 - 24, 0.00003565, 0.7463
2025-12-23 06:36:01,452 - 25, 0.00003384, 0.7438
2025-12-23 06:39:47,291 - 26, 0.00003320, 0.7178
2025-12-23 06:43:30,678 - 27, 0.00003245, 0.7114
2025-12-23 06:47:13,642 - 28, 0.00003181, 0.7084
2025-12-23 06:50:57,396 - 29, 0.00003139, 0.7596
2025-12-23 06:54:40,824 - 30, 0.00003169, 0.7065
2025-12-23 06:58:25,969 - 31, 0.00003034, 0.6637
2025-12-23 07:02:09,333 - 32, 0.00003043, 0.6591
2025-12-23 07:05:54,677 - 33, 0.00003055, 0.6590
2025-12-23 07:09:38,435 - 34, 0.00003073, 0.7598
2025-12-23 07:13:20,892 - 35, 0.00002919, 0.6372
2025-12-23 07:17:06,259 - 36, 0.00002884, 0.6345
2025-12-23 07:20:50,060 - 37, 0.00002921, 0.6279
2025-12-23 07:24:36,017 - 38, 0.00002868, 0.6254
2025-12-23 07:28:19,701 - 39, 0.00002904, 0.6258
2025-12-23 07:32:02,813 - 40, 0.00002822, 0.6195
2025-12-23 07:35:46,948 - 41, 0.00002788, 0.6715
2025-12-23 07:39:30,257 - 42, 0.00002780, 0.6341
2025-12-23 07:43:15,165 - 43, 0.00002805, 0.6024
2025-12-23 07:46:58,794 - 44, 0.00002756, 0.6108
2025-12-23 07:50:43,574 - 45, 0.00002756, 0.6036
2025-12-23 07:54:26,793 - 46, 0.00002715, 0.6043
2025-12-23 07:58:10,642 - 47, 0.00002669, 0.5933
2025-12-23 08:01:55,998 - 48, 0.00002630, 0.5826
2025-12-23 08:05:39,458 - 49, 0.00002629, 0.5791
2025-12-23 08:09:25,271 - 50, 0.00002722, 0.6216
2025-12-23 08:13:08,794 - 51, 0.00002640, 0.5805
2025-12-23 08:16:52,226 - 52, 0.00002591, 0.5679
2025-12-23 08:20:35,782 - 53, 0.00002640, 0.6086
2025-12-23 08:24:19,312 - 54, 0.00002613, 0.5594
2025-12-23 08:28:04,855 - 55, 0.00002571, 0.5811
2025-12-23 08:31:47,803 - 56, 0.00002538, 0.5735
2025-12-23 08:35:32,691 - 57, 0.00002542, 0.5541
2025-12-23 08:39:16,520 - 58, 0.00002552, 0.5659
2025-12-23 08:42:59,485 - 59, 0.00002500, 0.5771
2025-12-23 08:46:42,624 - 60, 0.00002591, 0.5456
2025-12-23 08:50:25,711 - 61, 0.00002507, 0.5479
2025-12-23 08:54:10,606 - 62, 0.00002517, 0.5498
2025-12-23 08:57:54,514 - 63, 0.00002475, 0.5716
2025-12-23 09:01:39,734 - 64, 0.00002484, 0.5379
2025-12-23 09:05:23,038 - 65, 0.00002481, 0.5369
2025-12-23 09:09:06,974 - 66, 0.00002452, 0.5298
2025-12-23 09:12:52,350 - 67, 0.00002536, 0.5447
2025-12-23 09:16:35,656 - 68, 0.00002428, 0.5798
2025-12-23 09:20:21,257 - 69, 0.00002446, 0.5544
2025-12-23 09:24:04,320 - 70, 0.00002428, 0.5326
2025-12-23 09:27:47,569 - 71, 0.00002374, 0.5279
2025-12-23 09:31:31,107 - 72, 0.00002437, 0.5984
2025-12-23 09:35:13,809 - 73, 0.00002389, 0.5272
2025-12-23 09:38:59,279 - 74, 0.00002361, 0.5265
2025-12-23 09:42:42,822 - 75, 0.00002378, 0.5206
2025-12-23 09:46:28,822 - 76, 0.00002304, 0.5060
2025-12-23 09:50:12,486 - 77, 0.00002350, 0.5329
2025-12-23 09:53:56,156 - 78, 0.00002311, 0.5133
2025-12-23 09:57:41,001 - 79, 0.00002357, 0.4963
2025-12-23 10:01:27,585 - 80, 0.00002313, 0.4985
2025-12-23 10:05:08,414 - 81, 0.00002318, 0.4956
2025-12-23 10:08:49,240 - 82, 0.00002249, 0.4977
2025-12-23 10:12:27,779 - 83, 0.00002255, 0.4929
2025-12-23 10:16:17,320 - 84, 0.00002266, 0.4798
2025-12-23 10:20:06,888 - 85, 0.00002202, 0.4793
2025-12-23 10:23:54,894 - 86, 0.00002212, 0.4790
2025-12-23 10:27:42,571 - 87, 0.00002229, 0.4875
2025-12-23 10:31:33,381 - 88, 0.00002233, 0.4794
2025-12-23 10:35:23,143 - 89, 0.00002204, 0.4815
2025-12-23 10:39:19,156 - 90, 0.00002199, 0.4650
2025-12-23 10:43:11,342 - 91, 0.00002193, 0.4676
2025-12-23 10:47:02,423 - 92, 0.00002182, 0.4761
2025-12-23 10:50:46,444 - 93, 0.00002218, 0.4547
2025-12-23 10:54:30,231 - 94, 0.00002144, 0.4706
2025-12-23 10:58:15,802 - 95, 0.00002171, 0.4605
2025-12-23 11:01:59,283 - 96, 0.00002194, 0.4565
2025-12-23 11:05:43,716 - 97, 0.00002139, 0.4578
2025-12-23 11:09:27,357 - 98, 0.00002127, 0.4750
2025-12-23 11:13:10,571 - 99, 0.00002132, 0.4519
2025-12-23 11:16:55,938 - 100, 0.00002067, 0.4506
2025-12-23 11:20:40,010 - 101, 0.00002110, 0.4664
2025-12-23 11:24:25,142 - 102, 0.00002105, 0.4458
2025-12-23 11:28:08,983 - 103, 0.00002081, 0.4435
2025-12-23 11:31:52,843 - 104, 0.00002134, 0.4350
2025-12-23 11:35:36,745 - 105, 0.00002171, 0.4465
2025-12-23 11:39:20,040 - 106, 0.00002109, 0.4365
2025-12-23 11:43:04,768 - 107, 0.00002064, 0.4374
2025-12-23 11:46:48,191 - 108, 0.00002085, 0.4401
2025-12-23 11:50:32,721 - 109, 0.00002098, 0.4314
2025-12-23 11:54:12,182 - 110, 0.00002043, 0.4492
2025-12-23 11:57:46,874 - 111, 0.00002070, 0.4354
2025-12-23 12:01:23,225 - 112, 0.00002055, 0.4339
2025-12-23 12:04:58,098 - 113, 0.00002011, 0.4309
2025-12-23 12:08:34,064 - 114, 0.00002045, 0.4299
2025-12-23 12:12:09,164 - 115, 0.00002047, 0.4402
2025-12-23 12:15:44,220 - 116, 0.00001981, 0.4332
