2025-10-15 16:05:14,657 - =====================Start Training=====================
2025-10-15 16:05:14,657 - config: resshift_10x_ch8
2025-10-15 16:05:14,657 - description: ch_base = 8
2025-10-15 16:05:14,658 - Epoch, Loss_train, Loss_val (K)
2025-10-15 19:21:15,793 - 97, 0.00003680, 0.7013
2025-10-15 19:23:14,865 - 98, 0.00003691, 0.6824
2025-10-15 19:25:15,368 - 99, 0.00003642, 0.6832
2025-10-15 19:27:14,312 - 100, 0.00003639, 0.7035
2025-10-15 19:29:15,012 - 101, 0.00003629, 0.6808
2025-10-15 19:31:15,040 - 102, 0.00003684, 0.6802
2025-10-15 19:33:16,124 - 103, 0.00003601, 0.6766
2025-10-15 19:35:16,549 - 104, 0.00003621, 0.6925
2025-10-15 19:37:17,948 - 105, 0.00003548, 0.6884
2025-10-15 19:39:18,041 - 106, 0.00003644, 0.6769
2025-10-15 19:41:18,749 - 107, 0.00003563, 0.6856
2025-10-15 19:43:18,783 - 108, 0.00003594, 0.6782
2025-10-15 19:45:19,234 - 109, 0.00003641, 0.6804
2025-10-15 19:47:19,339 - 110, 0.00003548, 0.6712
2025-10-15 19:49:20,000 - 111, 0.00003579, 0.6713
2025-10-15 19:51:20,081 - 112, 0.00003527, 0.6857
2025-10-15 19:53:19,943 - 113, 0.00003501, 0.6746
2025-10-15 19:55:19,326 - 114, 0.00003556, 0.6842
2025-10-15 19:57:19,841 - 115, 0.00003582, 0.6758
2025-10-15 19:59:19,819 - 116, 0.00003603, 0.6719
2025-10-15 20:01:19,829 - 117, 0.00003572, 0.6698
2025-10-15 20:03:20,547 - 118, 0.00003492, 0.6711
2025-10-15 20:05:20,143 - 119, 0.00003613, 0.6675
2025-10-15 20:07:20,397 - 120, 0.00003525, 0.6679
2025-10-15 20:09:20,586 - 121, 0.00003530, 0.6743
2025-10-15 20:11:21,433 - 122, 0.00003507, 0.6674
2025-10-15 20:13:22,999 - 123, 0.00003560, 0.6680
2025-10-15 20:15:24,269 - 124, 0.00003468, 0.6670
2025-10-15 20:17:25,416 - 125, 0.00003485, 0.6658
2025-10-15 20:19:26,820 - 126, 0.00003542, 0.6725
2025-10-15 20:21:27,650 - 127, 0.00003508, 0.6582
2025-10-15 20:23:28,867 - 128, 0.00003488, 0.6509
2025-10-15 20:25:29,198 - 129, 0.00003485, 0.6628
2025-10-15 20:27:29,339 - 130, 0.00003587, 0.6658
2025-10-15 20:29:28,980 - 131, 0.00003515, 0.6526
2025-10-15 20:31:30,372 - 132, 0.00003535, 0.6510
2025-10-15 20:33:31,004 - 133, 0.00003414, 0.6617
2025-10-15 20:35:33,130 - 134, 0.00003494, 0.6612
2025-10-15 20:37:33,507 - 135, 0.00003404, 0.6629
2025-10-15 20:39:35,096 - 136, 0.00003510, 0.6581
2025-10-15 20:41:35,318 - 137, 0.00003479, 0.6611
2025-10-15 20:43:35,781 - 138, 0.00003433, 0.6587
2025-10-15 20:45:35,041 - 139, 0.00003538, 0.6628
2025-10-15 20:47:35,058 - 140, 0.00003435, 0.6530
2025-10-15 20:49:34,668 - 141, 0.00003424, 0.6607
2025-10-15 20:51:35,571 - 142, 0.00003440, 0.6521
2025-10-15 20:53:34,930 - 143, 0.00003447, 0.6510
2025-10-15 20:55:36,084 - 144, 0.00003466, 0.6512
2025-10-15 20:57:36,467 - 145, 0.00003446, 0.6563
2025-10-15 20:59:37,039 - 146, 0.00003383, 0.6831
2025-10-15 21:01:36,160 - 147, 0.00003396, 0.6473
2025-10-15 21:03:35,888 - 148, 0.00003427, 0.6497
2025-10-15 21:05:36,571 - 149, 0.00003424, 0.6464
