2025-09-12 10:14:42,002 - =====================Start Training=====================
2025-09-12 10:14:42,003 - config: mocolsk_v0_10x
2025-09-12 10:14:42,003 - description: mocolsk | 10x | ch=32
2025-09-12 15:43:51,635 - Epoch 64: train_loss = 0.00005629, rmse_val = 0.6957 K
2025-09-12 15:49:00,254 - Epoch 65: train_loss = 0.00005648, rmse_val = 0.6959 K
2025-09-12 15:54:07,949 - Epoch 66: train_loss = 0.00005609, rmse_val = 0.6924 K
2025-09-12 15:59:17,228 - Epoch 67: train_loss = 0.00005590, rmse_val = 0.6925 K
2025-09-12 16:04:24,445 - Epoch 68: train_loss = 0.00005565, rmse_val = 0.6979 K
2025-09-12 16:09:28,797 - Epoch 69: train_loss = 0.00005550, rmse_val = 0.6936 K
2025-09-12 16:14:32,486 - Epoch 70: train_loss = 0.00005529, rmse_val = 0.6992 K
2025-09-12 16:19:37,334 - Epoch 71: train_loss = 0.00005527, rmse_val = 0.6947 K
2025-09-12 16:24:42,353 - Epoch 72: train_loss = 0.00005497, rmse_val = 0.6911 K
2025-09-12 16:29:46,408 - Epoch 73: train_loss = 0.00005481, rmse_val = 0.6910 K
2025-09-12 16:34:46,079 - Epoch 74: train_loss = 0.00005467, rmse_val = 0.6927 K
2025-09-12 16:39:45,344 - Epoch 75: train_loss = 0.00005454, rmse_val = 0.6910 K
2025-09-12 16:44:44,805 - Epoch 76: train_loss = 0.00005429, rmse_val = 0.6963 K
2025-09-12 16:49:44,394 - Epoch 77: train_loss = 0.00005416, rmse_val = 0.6900 K
2025-09-12 16:54:48,057 - Epoch 78: train_loss = 0.00005411, rmse_val = 0.6905 K
2025-09-12 16:59:50,828 - Epoch 79: train_loss = 0.00005385, rmse_val = 0.6899 K
2025-09-12 17:04:55,222 - Epoch 80: train_loss = 0.00005381, rmse_val = 0.6891 K
2025-09-12 17:10:00,432 - Epoch 81: train_loss = 0.00005347, rmse_val = 0.6884 K
2025-09-12 17:15:04,208 - Epoch 82: train_loss = 0.00005339, rmse_val = 0.6886 K
2025-09-12 17:20:08,029 - Epoch 83: train_loss = 0.00005321, rmse_val = 0.6869 K
2025-09-12 17:25:13,356 - Epoch 84: train_loss = 0.00005309, rmse_val = 0.6894 K
2025-09-12 17:30:17,140 - Epoch 85: train_loss = 0.00005300, rmse_val = 0.6876 K
2025-09-12 17:35:20,529 - Epoch 86: train_loss = 0.00005277, rmse_val = 0.6882 K
2025-09-12 17:40:25,691 - Epoch 87: train_loss = 0.00005266, rmse_val = 0.6905 K
2025-09-12 17:45:30,038 - Epoch 88: train_loss = 0.00005257, rmse_val = 0.6855 K
2025-09-12 17:50:34,275 - Epoch 89: train_loss = 0.00005226, rmse_val = 0.6944 K
2025-09-12 17:55:38,998 - Epoch 90: train_loss = 0.00005222, rmse_val = 0.6860 K
2025-09-12 18:00:43,749 - Epoch 91: train_loss = 0.00005208, rmse_val = 0.6858 K
2025-09-12 18:05:47,570 - Epoch 92: train_loss = 0.00005184, rmse_val = 0.6831 K
2025-09-12 18:10:51,216 - Epoch 93: train_loss = 0.00005184, rmse_val = 0.6853 K
2025-09-12 18:15:56,528 - Epoch 94: train_loss = 0.00005156, rmse_val = 0.6861 K
2025-09-12 18:21:00,684 - Epoch 95: train_loss = 0.00005161, rmse_val = 0.6845 K
2025-09-12 18:26:04,707 - Epoch 96: train_loss = 0.00005133, rmse_val = 0.6886 K
2025-09-12 18:31:09,459 - Epoch 97: train_loss = 0.00005126, rmse_val = 0.6954 K
2025-09-12 18:36:14,144 - Epoch 98: train_loss = 0.00005113, rmse_val = 0.6837 K
2025-09-12 18:41:17,700 - Epoch 99: train_loss = 0.00005102, rmse_val = 0.6832 K
2025-09-12 18:46:21,566 - Epoch 100: train_loss = 0.00005090, rmse_val = 0.6848 K
2025-09-12 18:51:26,474 - Epoch 101: train_loss = 0.00005070, rmse_val = 0.6833 K
2025-09-12 18:56:30,671 - Epoch 102: train_loss = 0.00005057, rmse_val = 0.6851 K
2025-09-12 19:01:34,490 - Epoch 103: train_loss = 0.00005053, rmse_val = 0.6861 K
2025-09-12 19:06:39,209 - Epoch 104: train_loss = 0.00005037, rmse_val = 0.6806 K
2025-09-12 19:11:43,235 - Epoch 105: train_loss = 0.00005015, rmse_val = 0.6844 K
2025-09-12 19:16:46,440 - Epoch 106: train_loss = 0.00005012, rmse_val = 0.6823 K
2025-09-12 19:21:48,648 - Epoch 107: train_loss = 0.00004995, rmse_val = 0.6846 K
2025-09-12 19:26:53,460 - Epoch 108: train_loss = 0.00004991, rmse_val = 0.6863 K
2025-09-12 19:31:57,099 - Epoch 109: train_loss = 0.00004969, rmse_val = 0.6809 K
2025-09-12 19:37:01,142 - Epoch 110: train_loss = 0.00004968, rmse_val = 0.6819 K
2025-09-12 19:42:05,997 - Epoch 111: train_loss = 0.00004958, rmse_val = 0.6837 K
2025-09-12 19:47:09,832 - Epoch 112: train_loss = 0.00004939, rmse_val = 0.6815 K
2025-09-12 19:52:13,861 - Epoch 113: train_loss = 0.00004937, rmse_val = 0.6803 K
2025-09-12 19:57:18,850 - Epoch 114: train_loss = 0.00004915, rmse_val = 0.6800 K
2025-09-12 20:02:22,598 - Epoch 115: train_loss = 0.00004907, rmse_val = 0.6814 K
2025-09-12 20:07:25,882 - Epoch 116: train_loss = 0.00004896, rmse_val = 0.6837 K
2025-09-12 20:12:30,599 - Epoch 117: train_loss = 0.00004893, rmse_val = 0.6849 K
2025-09-12 20:17:35,440 - Epoch 118: train_loss = 0.00004878, rmse_val = 0.6792 K
2025-09-12 20:22:39,668 - Epoch 119: train_loss = 0.00004860, rmse_val = 0.6802 K
2025-09-12 20:27:43,726 - Epoch 120: train_loss = 0.00004856, rmse_val = 0.6807 K
2025-09-12 20:32:48,725 - Epoch 121: train_loss = 0.00004843, rmse_val = 0.6789 K
2025-09-12 20:37:52,768 - Epoch 122: train_loss = 0.00004832, rmse_val = 0.6863 K
2025-09-12 20:42:57,000 - Epoch 123: train_loss = 0.00004825, rmse_val = 0.6813 K
2025-09-12 20:48:02,144 - Epoch 124: train_loss = 0.00004811, rmse_val = 0.6785 K
2025-09-12 20:53:06,740 - Epoch 125: train_loss = 0.00004805, rmse_val = 0.6807 K
2025-09-12 20:58:11,187 - Epoch 126: train_loss = 0.00004783, rmse_val = 0.6799 K
2025-09-12 21:03:15,567 - Epoch 127: train_loss = 0.00004784, rmse_val = 0.6810 K
2025-09-12 21:08:20,475 - Epoch 128: train_loss = 0.00004776, rmse_val = 0.6759 K
2025-09-12 21:13:24,448 - Epoch 129: train_loss = 0.00004758, rmse_val = 0.6828 K
2025-09-12 21:18:28,958 - Epoch 130: train_loss = 0.00004751, rmse_val = 0.6784 K
