2025-10-15 03:10:42,495 - =====================Start Training=====================
2025-10-15 03:10:42,495 - config: resshift_10x_ch16
2025-10-15 03:10:42,495 - description: ch_base = 16
2025-10-15 03:10:42,495 - Epoch, Loss_train, Loss_val (K)
2025-10-15 03:13:52,282 - 1, 0.00063852, 2.8878
2025-10-15 03:16:26,841 - 2, 0.00013317, 2.0181
2025-10-15 03:19:01,642 - 3, 0.00010332, 1.7337
2025-10-15 03:21:36,458 - 4, 0.00008984, 1.6413
2025-10-15 03:24:11,067 - 5, 0.00008277, 1.4743
2025-10-15 03:26:45,812 - 6, 0.00007674, 1.5907
2025-10-15 03:29:19,488 - 7, 0.00007226, 1.3058
2025-10-15 03:31:53,736 - 8, 0.00007046, 1.2599
2025-10-15 03:34:29,049 - 9, 0.00006654, 1.2017
2025-10-15 03:37:04,034 - 10, 0.00006210, 1.1753
2025-10-15 03:39:38,588 - 11, 0.00006090, 1.1563
2025-10-15 03:42:12,972 - 12, 0.00005755, 1.3652
2025-10-15 03:44:47,403 - 13, 0.00005721, 1.0096
2025-10-15 03:47:22,167 - 14, 0.00005406, 0.9826
2025-10-15 03:49:57,426 - 15, 0.00005360, 1.0427
2025-10-15 03:52:31,655 - 16, 0.00005102, 1.0639
2025-10-15 03:55:06,208 - 17, 0.00004965, 0.9918
2025-10-15 03:57:40,601 - 18, 0.00004891, 0.9552
2025-10-15 04:00:15,211 - 19, 0.00005021, 0.9474
2025-10-15 04:02:50,511 - 20, 0.00004604, 0.8680
2025-10-15 04:05:24,962 - 21, 0.00004496, 0.8315
2025-10-15 04:08:00,093 - 22, 0.00004493, 0.8496
2025-10-15 04:10:34,008 - 23, 0.00004406, 0.9388
2025-10-15 04:13:08,710 - 24, 0.00004318, 0.7983
2025-10-15 04:15:43,173 - 25, 0.00004250, 0.7945
2025-10-15 04:18:18,147 - 26, 0.00004154, 0.7758
2025-10-15 04:20:51,955 - 27, 0.00004210, 0.7769
2025-10-15 04:23:26,753 - 28, 0.00004195, 0.7695
2025-10-15 04:26:00,929 - 29, 0.00004216, 0.7905
2025-10-15 04:28:36,100 - 30, 0.00004040, 0.8193
2025-10-15 04:31:10,411 - 31, 0.00003954, 0.7570
2025-10-15 04:33:45,240 - 32, 0.00003930, 0.7636
2025-10-15 04:36:19,910 - 33, 0.00003891, 0.7386
2025-10-15 04:38:54,539 - 34, 0.00003880, 0.7126
2025-10-15 04:41:29,451 - 35, 0.00003816, 0.7069
2025-10-15 04:44:04,006 - 36, 0.00003899, 0.7715
2025-10-15 04:46:38,615 - 37, 0.00003816, 0.7825
2025-10-15 04:49:13,209 - 38, 0.00003820, 0.7347
2025-10-15 04:51:47,330 - 39, 0.00003783, 0.6939
2025-10-15 04:54:22,291 - 40, 0.00003672, 0.6741
2025-10-15 04:56:57,022 - 41, 0.00003603, 0.6860
2025-10-15 04:59:31,974 - 42, 0.00003638, 0.7285
2025-10-15 05:02:06,278 - 43, 0.00003652, 0.6949
2025-10-15 05:04:41,135 - 44, 0.00003659, 0.6726
2025-10-15 05:07:15,060 - 45, 0.00003522, 0.6620
2025-10-15 05:09:50,389 - 46, 0.00003626, 0.6760
2025-10-15 05:12:24,872 - 47, 0.00003575, 0.6511
2025-10-15 05:14:59,540 - 48, 0.00003445, 0.7237
2025-10-15 05:17:34,413 - 49, 0.00003496, 0.6542
2025-10-15 05:20:08,821 - 50, 0.00003591, 0.6681
2025-10-15 05:22:43,703 - 51, 0.00003474, 0.6478
2025-10-15 05:25:18,321 - 52, 0.00003457, 0.6632
2025-10-15 05:27:53,151 - 53, 0.00003473, 0.6437
2025-10-15 05:30:28,119 - 54, 0.00003439, 0.6450
2025-10-15 05:33:03,325 - 55, 0.00003307, 0.6441
2025-10-15 05:35:37,386 - 56, 0.00003384, 0.6437
2025-10-15 05:38:12,771 - 57, 0.00003344, 0.6227
2025-10-15 05:40:47,242 - 58, 0.00003410, 0.6251
2025-10-15 05:43:21,256 - 59, 0.00003396, 0.6215
2025-10-15 05:45:55,842 - 60, 0.00003352, 0.6341
2025-10-15 05:48:30,644 - 61, 0.00003352, 0.6168
2025-10-15 05:51:04,651 - 62, 0.00003306, 0.6208
2025-10-15 05:53:39,168 - 63, 0.00003298, 0.6160
2025-10-15 05:56:14,032 - 64, 0.00003250, 0.6659
2025-10-15 05:58:48,910 - 65, 0.00003296, 0.6216
2025-10-15 06:01:23,261 - 66, 0.00003309, 0.6054
2025-10-15 06:03:57,734 - 67, 0.00003359, 0.6298
2025-10-15 06:06:28,639 - 68, 0.00003237, 0.6202
2025-10-15 06:09:03,193 - 69, 0.00003259, 0.6229
2025-10-15 06:11:37,739 - 70, 0.00003264, 0.5978
2025-10-15 06:14:12,163 - 71, 0.00003261, 0.5893
2025-10-15 06:16:46,671 - 72, 0.00003223, 0.6193
2025-10-15 06:19:22,008 - 73, 0.00003275, 0.6105
2025-10-15 06:21:56,550 - 74, 0.00003236, 0.5985
2025-10-15 06:24:31,349 - 75, 0.00003192, 0.5934
2025-10-15 06:27:06,222 - 76, 0.00003228, 0.6108
2025-10-15 06:29:41,008 - 77, 0.00003119, 0.5815
2025-10-15 06:32:16,040 - 78, 0.00003212, 0.6038
2025-10-15 06:34:50,635 - 79, 0.00003254, 0.5958
2025-10-15 06:37:25,456 - 80, 0.00003178, 0.6269
2025-10-15 06:39:59,606 - 81, 0.00003187, 0.5839
2025-10-15 06:42:34,233 - 82, 0.00003127, 0.5925
2025-10-15 06:45:08,079 - 83, 0.00003141, 0.5804
2025-10-15 06:47:42,430 - 84, 0.00003135, 0.5998
2025-10-15 06:50:16,942 - 85, 0.00003143, 0.5776
2025-10-15 06:52:51,700 - 86, 0.00003159, 0.5752
2025-10-15 06:55:26,432 - 87, 0.00003098, 0.5745
2025-10-15 06:58:01,394 - 88, 0.00003090, 0.5873
2025-10-15 07:00:36,051 - 89, 0.00003108, 0.5691
2025-10-15 07:03:11,283 - 90, 0.00003147, 0.6011
2025-10-15 07:05:46,160 - 91, 0.00003075, 0.6517
2025-10-15 07:08:20,294 - 92, 0.00003134, 0.5881
2025-10-15 07:10:54,983 - 93, 0.00003036, 0.5695
2025-10-15 07:13:29,314 - 94, 0.00003123, 0.5767
2025-10-15 07:16:03,848 - 95, 0.00003024, 0.5859
2025-10-15 07:18:38,049 - 96, 0.00003088, 0.5655
2025-10-15 07:21:12,809 - 97, 0.00003059, 0.5728
2025-10-15 07:23:47,629 - 98, 0.00003028, 0.5663
2025-10-15 07:26:22,109 - 99, 0.00003030, 0.5552
2025-10-15 07:28:57,404 - 100, 0.00003069, 0.5639
2025-10-15 07:31:31,495 - 101, 0.00002969, 0.5779
2025-10-15 07:34:04,156 - 102, 0.00003004, 0.5592
2025-10-15 07:36:39,005 - 103, 0.00003024, 0.5995
2025-10-15 07:39:13,740 - 104, 0.00003084, 0.5678
2025-10-15 07:41:47,975 - 105, 0.00002994, 0.5672
2025-10-15 07:44:22,380 - 106, 0.00002951, 0.5524
2025-10-15 07:46:57,350 - 107, 0.00003056, 0.5591
2025-10-15 07:49:32,054 - 108, 0.00003047, 0.5551
2025-10-15 07:52:06,827 - 109, 0.00003020, 0.5551
2025-10-15 07:54:40,810 - 110, 0.00003024, 0.5507
2025-10-15 07:57:15,960 - 111, 0.00003028, 0.5511
2025-10-15 07:59:50,710 - 112, 0.00002930, 0.5538
2025-10-15 08:02:25,421 - 113, 0.00002924, 0.5509
2025-10-15 08:05:00,420 - 114, 0.00002955, 0.5521
2025-10-15 08:07:35,246 - 115, 0.00002911, 0.5508
2025-10-15 08:10:10,053 - 116, 0.00002947, 0.5534
2025-10-15 08:12:44,776 - 117, 0.00002920, 0.5418
2025-10-15 08:15:20,198 - 118, 0.00002944, 0.5426
2025-10-15 08:17:54,612 - 119, 0.00002951, 0.5486
2025-10-15 08:20:29,199 - 120, 0.00002989, 0.5342
2025-10-15 08:23:04,151 - 121, 0.00002888, 0.5422
2025-10-15 08:25:38,931 - 122, 0.00002932, 0.5404
