Method,RMSE,Bias,SSIM,Loss_phy
itp,2.378,0.029,0.748,0.622
kd1,2.507,0.029,0.76,0.354
kd2,2.484,-0.071,0.766,0.843
dcf1,2.079,0.029,0.801,0.387
dcf2,2.112,-0.028,0.802,0.631
mocolsk,1.87,0.002,0.837,0.064
pgdm,1.764,0.012,0.849,0.042
