Method,RMSE,Bias,SSIM,Loss_phy
itp,1.691,0.015,0.874,0.368
kd,1.633,0.015,0.884,0.195
dcf,1.252,0.015,0.925,0.234
mocolsk,0.897,-0.009,0.954,0.047
pgdm,0.749,0.007,0.967,0.042
