Method,RMSE,Bias,SSIM,Loss_phy
itp,2.78,0.039,0.728,0.627
kd1,2.731,0.039,0.742,0.293
kd2,2.589,-0.082,0.763,0.808
dcf1,2.275,0.039,0.79,0.378
dcf2,2.33,-0.021,0.79,0.6
mocolsk,2.036,0.006,0.821,0.07
pgdm,1.93,0.021,0.833,0.067
