Method,RMSE,Bias,SSIM,Loss_phy
itp,1.424,0.011,0.885,0.384
kd,1.237,0.011,0.915,0.215
dcf,0.987,0.011,0.941,0.238
mocolsk,0.633,-0.004,0.971,0.035
pgdm,0.61,0.0,0.973,0.025
