Scheme,RMSE,Bias,SSIM,Loss_phy
0,1.069,0.001,0.929,0.032
1,1.323,0.002,0.895,0.026
2,1.017,-0.01,0.936,0.033
3,0.699,0.004,0.966,0.024
4,1.031,0.001,0.932,0.032
5,0.758,-0.01,0.962,0.035
6,0.62,-0.001,0.973,0.025
7,0.61,0.0,0.973,0.025
8,0.607,0.0,0.974,0.025
