Method,RMSE,Bias,SSIM,Loss_phy
itp,2.579,0.034,0.768,0.669
kd1,2.151,0.034,0.831,0.3
kd2,2.02,-0.091,0.854,0.837
dcf1,1.702,0.034,0.888,0.393
dcf2,1.8,-0.028,0.886,0.624
mocolsk,1.353,-0.003,0.915,0.073
pgdm,1.126,0.017,0.937,0.079
